year,SSP1-1.9,SSP1-2.6,SSP2-4.5,SSP3-3.4,SSP3-7.0,SSP4-3.4,SSP4-6.0,SSP5-8.5,,,,total 1-1.9,total 1-2.6,total 2-4.5,total 3-3.4,total 3-7.0,total 4-3.4,total 4-6.0,total 5-8.5
1750,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,,,,0.297568328,0.297568328,0.297568328,0.297568328,0.297568328,0.297568328,0.297568328,0.297568328
1751,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,,,,0.286266211,0.286266211,0.286266211,0.286266211,0.286266211,0.286266211,0.286266211,0.286266211
1752,0.261,0.261,0.261,0.261,0.261,0.261,0.261,0.261,,,,0.261437232,0.261437232,0.261437232,0.261437232,0.261437232,0.261437232,0.261437232,0.261437232
1753,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,,,,0.224235779,0.224235779,0.224235779,0.224235779,0.224235779,0.224235779,0.224235779,0.224235779
1754,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,,,,0.184177951,0.184177951,0.184177951,0.184177951,0.184177951,0.184177951,0.184177951,0.184177951
1755,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,,,,0.139594933,0.139594933,0.139594933,0.139594933,0.139594933,0.139594933,0.139594933,0.139594933
1756,-0.114,-0.114,-0.114,-0.114,-0.114,-0.114,-0.114,-0.114,,,,-0.11423647,-0.11423647,-0.11423647,-0.11423647,-0.11423647,-0.11423647,-0.11423647,-0.11423647
1757,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,,,,0.042486724,0.042486724,0.042486724,0.042486724,0.042486724,0.042486724,0.042486724,0.042486724
1758,0.186,0.186,0.186,0.186,0.186,0.186,0.186,0.186,,,,0.18615278,0.18615278,0.18615278,0.18615278,0.18615278,0.18615278,0.18615278,0.18615278
1759,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,,,,0.268224659,0.268224659,0.268224659,0.268224659,0.268224659,0.268224659,0.268224659,0.268224659
1760,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,0.300466537,0.300466537,0.300466537,0.300466537,0.300466537,0.300466537,0.300466537,0.300466537
1761,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,,,,0.303081321,0.303081321,0.303081321,0.303081321,0.303081321,0.303081321,0.303081321,0.303081321
1762,-0.719,-0.719,-0.719,-0.719,-0.719,-0.719,-0.719,-0.719,,,,-0.718953663,-0.718953663,-0.718953663,-0.718953663,-0.718953663,-0.718953663,-0.718953663,-0.718953663
1763,-0.439,-0.439,-0.439,-0.439,-0.439,-0.439,-0.439,-0.439,,,,-0.439127442,-0.439127442,-0.439127442,-0.439127442,-0.439127442,-0.439127442,-0.439127442,-0.439127442
1764,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,,,,-0.016708125,-0.016708125,-0.016708125,-0.016708125,-0.016708125,-0.016708125,-0.016708125,-0.016708125
1765,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,,,,0.106302417,0.106302417,0.106302417,0.106302417,0.106302417,0.106302417,0.106302417,0.106302417
1766,-0.219,-0.219,-0.219,-0.219,-0.219,-0.219,-0.219,-0.219,,,,-0.219144941,-0.219144941,-0.219144941,-0.219144941,-0.219144941,-0.219144941,-0.219144941,-0.219144941
1767,-0.262,-0.262,-0.262,-0.262,-0.262,-0.262,-0.262,-0.262,,,,-0.261866534,-0.261866534,-0.261866534,-0.261866534,-0.261866534,-0.261866534,-0.261866534,-0.261866534
1768,0.072,0.072,0.072,0.072,0.072,0.072,0.072,0.072,,,,0.072076047,0.072076047,0.072076047,0.072076047,0.072076047,0.072076047,0.072076047,0.072076047
1769,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,,,,0.260264888,0.260264888,0.260264888,0.260264888,0.260264888,0.260264888,0.260264888,0.260264888
1770,0.187,0.187,0.187,0.187,0.187,0.187,0.187,0.187,,,,0.186941017,0.186941017,0.186941017,0.186941017,0.186941017,0.186941017,0.186941017,0.186941017
1771,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,,,,0.248894134,0.248894134,0.248894134,0.248894134,0.248894134,0.248894134,0.248894134,0.248894134
1772,0.301,0.301,0.301,0.301,0.301,0.301,0.301,0.301,,,,0.301363603,0.301363603,0.301363603,0.301363603,0.301363603,0.301363603,0.301363603,0.301363603
