year,RCP2.6,RCP4.5,RCP6.0,RCP8.5
1751.0,-0.0209999999999999,-0.0209999999999999,-0.0209999999999999,-0.0209999999999999
1752.0,-0.023,-0.023,-0.023,-0.023
1753.0,-0.023,-0.023,-0.023,-0.023
1754.0,-0.026,-0.026,-0.026,-0.026
1755.0,-0.027,-0.027,-0.027,-0.027
1756.0,-0.0279999999999999,-0.0279999999999999,-0.0279999999999999,-0.0279999999999999
1757.0,-0.03,-0.03,-0.03,-0.03
1758.0,-0.031,-0.031,-0.031,-0.031
1759.0,-0.033,-0.033,-0.033,-0.033
1760.0,-0.035,-0.035,-0.035,-0.035
1761.0,-0.036,-0.036,-0.036,-0.036
1762.0,-0.038,-0.038,-0.038,-0.038
1763.0,-0.039,-0.039,-0.039,-0.039
1764.0,-0.041,-0.041,-0.041,-0.041
1765.0,-0.041,-0.041,-0.041,-0.041
1766.0,-0.041,-0.041,-0.041,-0.041
1767.0,-0.041,-0.041,-0.041,-0.041
1768.0,-0.041,-0.041,-0.041,-0.041
1769.0,-0.041,-0.041,-0.041,-0.041
1770.0,-0.04,-0.04,-0.04,-0.04
1771.0,-0.039,-0.039,-0.039,-0.039
1772.0,-0.038,-0.038,-0.038,-0.038
1773.0,-0.037,-0.037,-0.037,-0.037
1774.0,-0.038,-0.038,-0.038,-0.038
1775.0,-0.038,-0.038,-0.038,-0.038
1776.0,-0.037,-0.037,-0.037,-0.037
1777.0,-0.039,-0.039,-0.039,-0.039
1778.0,-0.04,-0.04,-0.04,-0.04
1779.0,-0.043,-0.043,-0.043,-0.043
1780.0,-0.045,-0.045,-0.045,-0.045
1781.0,-0.045,-0.045,-0.045,-0.045
1782.0,-0.048,-0.048,-0.048,-0.048
1783.0,-0.0479999999999999,-0.0479999999999999,-0.0479999999999999,-0.0479999999999999
1784.0,-0.048,-0.048,-0.048,-0.048
1785.0,-0.046,-0.046,-0.046,-0.046
1786.0,-0.043,-0.043,-0.043,-0.043
1787.0,-0.042,-0.042,-0.042,-0.042
1788.0,-0.038,-0.038,-0.038,-0.038
1789.0,-0.034,-0.034,-0.034,-0.034
1790.0,-0.03,-0.03,-0.03,-0.03
1791.0,-0.0259999999999999,-0.0259999999999999,-0.0259999999999999,-0.0259999999999999
1792.0,-0.0219999999999999,-0.0219999999999999,-0.0219999999999999,-0.0219999999999999
1793.0,-0.019,-0.019,-0.019,-0.019
1794.0,-0.0159999999999999,-0.0159999999999999,-0.0159999999999999,-0.0159999999999999
1795.0,-0.01,-0.01,-0.01,-0.01
1796.0,-0.007,-0.007,-0.007,-0.007
1797.0,-0.005,-0.005,-0.005,-0.005
1798.0,-0.0019999999999999,-0.0019999999999999,-0.0019999999999999,-0.0019999999999999
1799.0,0.002,0.002,0.002,0.002
1800.0,0.0039999999999999,0.0039999999999999,0.0039999999999999,0.0039999999999999
1801.0,0.0069999999999999,0.0069999999999999,0.0069999999999999,0.0069999999999999
1802.0,0.0079999999999999,0.0079999999999999,0.0079999999999999,0.0079999999999999
1803.0,0.0089999999999999,0.0089999999999999,0.0089999999999999,0.0089999999999999
1804.0,0.011,0.011,0.011,0.011
1805.0,0.012,0.012,0.012,0.012
1806.0,0.013,0.013,0.013,0.013
1807.0,0.013,0.013,0.013,0.013
1808.0,0.013,0.013,0.013,0.013
1809.0,0.013,0.013,0.013,0.013
1810.0,0.012,0.012,0.012,0.012
1811.0,0.0119999999999999,0.0119999999999999,0.0119999999999999,0.0119999999999999
1812.0,0.0099999999999999,0.0099999999999999,0.0099999999999999,0.0099999999999999
1813.0,0.0089999999999999,0.0089999999999999,0.0089999999999999,0.0089999999999999
1814.0,0.006,0.006,0.006,0.006
1815.0,0.003,0.003,0.003,0.003
1816.0,2.4286128663675302e-17,2.4286128663675302e-17,2.4286128663675302e-17,2.4286128663675302e-17
1817.0,-0.0049999999999999,-0.0049999999999999,-0.0049999999999999,-0.0049999999999999
1818.0,-0.0069999999999999,-0.0069999999999999,-0.0069999999999999,-0.0069999999999999
1819.0,-0.0119999999999999,-0.0119999999999999,-0.0119999999999999,-0.0119999999999999
1820.0,-0.0149999999999999,-0.0149999999999999,-0.0149999999999999,-0.0149999999999999
1821.0,-0.0179999999999999,-0.0179999999999999,-0.0179999999999999,-0.0179999999999999
1822.0,-0.0199999999999999,-0.0199999999999999,-0.0199999999999999,-0.0199999999999999
1823.0,-0.0219999999999999,-0.0219999999999999,-0.0219999999999999,-0.0219999999999999
1824.0,-0.0229999999999999,-0.0229999999999999,-0.0229999999999999,-0.0229999999999999
