year;SSP1-1.9;SSP1-2.6;SSP2-4.5;SSP3-3.4;SSP3-7.0;SSP4-3.4;SSP4-6.0;SSP5-8.5
1750;0.298;0.298;0.298;0.298;0.298;0.298;0.298;0.298
1751;0.286;0.286;0.286;0.286;0.286;0.286;0.286;0.286
1752;0.261;0.261;0.261;0.261;0.261;0.261;0.261;0.261
1753;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224
1754;0.184;0.184;0.184;0.184;0.184;0.184;0.184;0.184
1755;0.14;0.14;0.14;0.14;0.14;0.14;0.14;0.14
1756;-0.114;-0.114;-0.114;-0.114;-0.114;-0.114;-0.114;-0.114
1757;0.042;0.042;0.042;0.042;0.042;0.042;0.042;0.042
1758;0.186;0.186;0.186;0.186;0.186;0.186;0.186;0.186
1759;0.268;0.268;0.268;0.268;0.268;0.268;0.268;0.268
1760;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
1761;0.303;0.303;0.303;0.303;0.303;0.303;0.303;0.303
1762;-0.719;-0.719;-0.719;-0.719;-0.719;-0.719;-0.719;-0.719
1763;-0.439;-0.439;-0.439;-0.439;-0.439;-0.439;-0.439;-0.439
1764;-0.017;-0.017;-0.017;-0.017;-0.017;-0.017;-0.017;-0.017
1765;0.106;0.106;0.106;0.106;0.106;0.106;0.106;0.106
1766;-0.219;-0.219;-0.219;-0.219;-0.219;-0.219;-0.219;-0.219
1767;-0.262;-0.262;-0.262;-0.262;-0.262;-0.262;-0.262;-0.262
1768;0.072;0.072;0.072;0.072;0.072;0.072;0.072;0.072
1769;0.26;0.26;0.26;0.26;0.26;0.26;0.26;0.26
1770;0.187;0.187;0.187;0.187;0.187;0.187;0.187;0.187
1771;0.249;0.249;0.249;0.249;0.249;0.249;0.249;0.249
1772;0.301;0.301;0.301;0.301;0.301;0.301;0.301;0.301
1773;0.291;0.291;0.291;0.291;0.291;0.291;0.291;0.291
1774;0.248;0.248;0.248;0.248;0.248;0.248;0.248;0.248
1775;0.224;0.224;0.224;0.224;0.224;0.224;0.224;0.224
1776;0.209;0.209;0.209;0.209;0.209;0.209;0.209;0.209
1777;0.211;0.211;0.211;0.211;0.211;0.211;0.211;0.211
1778;0.253;0.253;0.253;0.253;0.253;0.253;0.253;0.253
1779;0.332;0.332;0.332;0.332;0.332;0.332;0.332;0.332
1780;0.369;0.369;0.369;0.369;0.369;0.369;0.369;0.369
1781;0.375;0.375;0.375;0.375;0.375;0.375;0.375;0.375
1782;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354
1783;-1.671;-1.671;-1.671;-1.671;-1.671;-1.671;-1.671;-1.671
1784;-3.793;-3.793;-3.793;-3.793;-3.793;-3.793;-3.793;-3.793
1785;-1.433;-1.433;-1.433;-1.433;-1.433;-1.433;-1.433;-1.433
1786;-0.517;-0.517;-0.517;-0.517;-0.517;-0.517;-0.517;-0.517
1787;-0.071;-0.071;-0.071;-0.071;-0.071;-0.071;-0.071;-0.071
1788;0.193;0.193;0.193;0.193;0.193;0.193;0.193;0.193
1789;0.353;0.353;0.353;0.353;0.353;0.353;0.353;0.353
1790;0.406;0.406;0.406;0.406;0.406;0.406;0.406;0.406
