year,wmghg_data,solar_data,volc_data,landuse_data,manaero_data
1751.0,-0.019,-0.014,0.0,0.0,-0.002
1752.0,-0.018000000000000002,-0.029,0.0,-0.001,-0.004
1753.0,-0.017,-0.033,0.0,-0.001,-0.005
1754.0,-0.017,-0.043,0.0,-0.002,-0.007
1755.0,-0.016,-0.054,-0.664,-0.002,-0.009
1756.0,-0.015,-0.055,0.0,-0.002,-0.011
1757.0,-0.014,-0.048,0.0,-0.003,-0.013
1758.0,-0.014,-0.05,0.0,-0.003,-0.014
1759.0,-0.013000000000000001,-0.102,0.0,-0.004,-0.016
1760.0,-0.013000000000000001,-0.112,-0.06,-0.004,-0.018
1761.0,-0.012,-0.016,-1.093,-0.004,-0.02
1762.0,-0.012,-0.007,-0.3,-0.005,-0.021
1763.0,-0.011000000000000003,-0.018,-0.093,-0.005,-0.023
1764.0,-0.010000000000000002,-0.022,-0.021,-0.006,-0.025
1765.0,-0.008,-0.054,-0.003,-0.006,-0.027
1766.0,-0.006000000000000002,-0.048,0.0,-0.006,-0.029
1767.0,-0.004,-0.036,0.0,-0.007,-0.03
1768.0,-0.0020000000000000018,0.016,0.0,-0.007,-0.032
1769.0,0.0009999999999999974,0.05,0.0,-0.008,-0.034
1770.0,0.003999999999999998,0.081,0.0,-0.008,-0.036
1771.0,0.006999999999999999,0.055,0.0,-0.008,-0.038
1772.0,0.009999999999999998,0.052,-0.07,-0.009,-0.039
1773.0,0.012999999999999998,0.016,-0.02,-0.009,-0.041
1774.0,0.015,-0.002,-0.005,-0.01,-0.043
1775.0,0.016999999999999998,-0.038,-0.001,-0.01,-0.045
1776.0,0.019,-0.045,0.0,-0.01,-0.046
1777.0,0.019999999999999997,-0.036,0.0,-0.011,-0.048
1778.0,0.020999999999999998,0.017,-0.067,-0.011,-0.05
1779.0,0.020999999999999998,-0.034,-0.071,-0.012,-0.052
1780.0,0.020999999999999998,-0.069,-0.018,-0.012,-0.054
1781.0,0.022,-0.057,-0.004,-0.012,-0.055
1782.0,0.022,-0.028,-0.001,-0.013,-0.057
1783.0,0.024,-0.065,-7.857,-0.013,-0.059
1784.0,0.026999999999999996,-0.059,-0.522,-0.014,-0.061
1785.0,0.03,-0.046,-0.121,-0.014,-0.062
1786.0,0.035,-0.022,-0.027,-0.014,-0.064
1787.0,0.039,-0.001,-0.002,-0.015,-0.066
1788.0,0.045,0.034,-0.133,-0.015,-0.068
1789.0,0.052000000000000005,-0.033,-0.041,-0.016,-0.07
1790.0,0.056999999999999995,-0.058,-0.009,-0.016,-0.071
1791.0,0.063,-0.056,-0.001,-0.016,-0.073
1792.0,0.07,-0.051,0.0,-0.017,-0.075
1793.0,0.075,-0.065,0.0,-0.017,-0.077
1794.0,0.081,-0.064,-0.157,-0.018,-0.079
1795.0,0.088,-0.027,0.0,-0.018,-0.08
1796.0,0.093,-0.033,-0.781,-0.018,-0.082
1797.0,0.098,-0.043,-0.071,-0.019,-0.084
1798.0,0.10300000000000001,-0.045,-0.016,-0.019,-0.086
1799.0,0.10900000000000001,-0.047,-0.002,-0.02,-0.087
1800.0,0.11299999999999999,-0.055,0.0,-0.02,-0.089
1801.0,0.118,-0.021,-0.154,-0.02,-0.091
1802.0,0.122,-0.01,-0.048,-0.021,-0.093
1803.0,0.125,-0.033,-0.011,-0.021,-0.095
1804.0,0.129,-0.04,-0.23,-0.022,-0.096
1805.0,0.132,-0.046,-0.07,-0.022,-0.098
1806.0,0.135,-0.036,-0.016,-0.022,-0.1
1807.0,0.138,-0.057,-0.002,-0.023,-0.102
1808.0,0.14,-0.065,0.0,-0.023,-0.104
1809.0,0.14200000000000002,-0.065,-6.947,-0.024,-0.105
1810.0,0.14300000000000002,-0.07,-2.254,-0.024,-0.107
1811.0,0.145,-0.072,-0.836,-0.024,-0.109
1812.0,0.146,-0.072,-0.308,-0.025,-0.111
1813.0,0.146,-0.069,-0.109,-0.025,-0.112
1814.0,0.14600000000000002,-0.064,0.0,-0.026,-0.114
1815.0,0.14500000000000002,-0.062,-11.629,-0.026,-0.116
1816.0,0.14400000000000002,-0.052,-4.553,-0.026,-0.118
1817.0,0.14200000000000002,-0.048,-2.419,-0.027,-0.12
1818.0,0.14100000000000001,-0.053,-0.915,-0.027,-0.121
1819.0,0.139,-0.054,-0.337,-0.028,-0.123
1820.0,0.138,-0.059,-0.039,-0.028,-0.125
1821.0,0.137,-0.065,0.0,-0.028,-0.127
1822.0,0.137,-0.066,0.0,-0.029,-0.128
1823.0,0.137,-0.068,0.0,-0.029,-0.13
1824.0,0.139,-0.059,0.0,-0.03,-0.132
1825.0,0.14100000000000001,-0.052,0.0,-0.03,-0.134
1826.0,0.14400000000000002,-0.044,0.0,-0.03,-0.136
1827.0,0.148,-0.018,0.0,-0.031,-0.137
1828.0,0.151,-0.008,0.0,-0.031,-0.139
1829.0,0.154,-0.006,0.0,-0.032,-0.141
1830.0,0.156,0.002,0.0,-0.032,-0.143
1831.0,0.157,0.002,-1.538,-0.032,-0.145
1832.0,0.157,-0.02,-1.229,-0.033,-0.146
1833.0,0.155,-0.035,-0.605,-0.033,-0.148
1834.0,0.153,-0.038,-0.223,-0.034,-0.15
1835.0,0.15,-0.033,-4.935,-0.034,-0.152
1836.0,0.148,0.017,-1.445,-0.034,-0.153
1837.0,0.14700000000000002,0.055,-0.523,-0.035,-0.155
1838.0,0.14700000000000002,0.051,-0.192,-0.035,-0.157
1839.0,0.15,0.028,-0.069,-0.036,-0.159
1840.0,0.154,0.027,-0.047,-0.036,-0.161
1841.0,0.159,0.007,-0.013,-0.036,-0.162
1842.0,0.167,-0.006,-0.003,-0.037,-0.164
1843.0,0.17600000000000002,-0.013,-0.052,-0.037,-0.166
1844.0,0.184,-0.024,-0.014,-0.038,-0.168
1845.0,0.192,-0.026,-0.003,-0.038,-0.169
1846.0,0.199,-0.024,-0.071,-0.038,-0.171
1847.0,0.20400000000000001,-0.062,-0.02,-0.039,-0.173
1848.0,0.20800000000000002,-0.018,-0.005,-0.039,-0.175
1849.0,0.21200000000000002,0.043,-0.001,-0.04,-0.177
1850.0,0.21300000000000002,0.024,-0.1,-0.04,-0.178
1851.0,0.21400000000000002,0.016,-0.075,-0.04,-0.18
1852.0,0.21400000000000002,0.02,-0.025,-0.041,-0.182
