Year;Greenhouse gases;Solar radiation;Volcanism;Land-use change;Aerosols
1750;0;0.098;0.2;0;0
1751;0.002;0.079;0.2;0;0.005
1752;0.004;0.049;0.2;0;0.009
1753;0.006;0.013;0.2;-0.001;0.005
1754;0.008;-0.021;0.2;-0.001;-0.003
1755;0.01;-0.046;0.173;-0.001;0.002
1756;0.012;-0.053;-0.078;-0.001;0.005
1757;0.014;-0.034;0.066;-0.002;-0.005
1758;0.016;0.017;0.153;-0.002;-0.001
1759;0.018;0.068;0.184;-0.002;-0.003
1760;0.02;0.092;0.195;-0.002;-0.008
1761;0.022;0.086;0.198;-0.003;-0.005
1762;0.024;0.064;-0.806;-0.003;-0.002
1763;0.026;0.031;-0.495;-0.003;-0.002
1764;0.028;-0.006;-0.05;-0.003;0.01
1765;0.03;-0.036;0.115;-0.003;-0.005
1766;0.032;-0.05;-0.205;-0.004;0.002
1767;0.034;-0.037;-0.262;-0.004;0.001
1768;0.036;0.019;0.026;-0.004;-0.013
1769;0.038;0.086;0.141;-0.004;-0.007
1770;0.04;0.117;0.034;-0.005;-0.007
1771;0.042;0.11;0.092;-0.005;0.002
1772;0.044;0.087;0.161;-0.005;0.007
1773;0.046;0.051;0.187;-0.005;0.005
1774;0.048;0.01;0.196;-0.005;-0.009
1775;0.05;-0.026;0.199;-0.006;-0.003
1776;0.052;-0.047;0.2;-0.006;0.001
1777;0.054;-0.043;0.2;-0.006;-0.004
1778;0.056;0.002;0.2;-0.006;-0.009
1779;0.058;0.073;0.2;-0.007;-0.003
1780;0.06;0.116;0.2;-0.007;-0.012
1781;0.062;0.116;0.2;-0.007;-0.007
1782;0.064;0.091;0.2;-0.007;-0.006
1783;0.066;0.055;-1.792;-0.008;-0.004
1784;0.068;0.011;-3.881;-0.008;0.005
1785;0.07;-0.026;-1.476;-0.008;-0.006
1786;0.072;-0.045;-0.548;-0.008;0
1787;0.074;-0.031;-0.113;-0.008;-0.005
1788;0.075;0.037;0.092;-0.009;-0.018
1789;0.077;0.117;0.164;-0.009;-0.012
1790;0.079;0.145;0.188;-0.009;-0.013
1791;0.081;0.131;0.196;-0.009;-0.004
1792;0.083;0.112;0.199;-0.01;0
1793;0.085;0.082;0.2;-0.01;-0.001
1794;0.087;0.046;0.2;-0.01;-0.016
1795;0.089;0.008;0.2;-0.01;-0.009
1796;0.091;-0.026;0.056;-0.011;-0.005
1797;0.093;-0.051;-0.054;-0.011;-0.011
1798;0.095;-0.063;0.058;-0.011;-0.015
1799;0.097;-0.061;0.15;-0.011;-0.013
1800;0.099;-0.043;0.183;-0.011;-0.018
1801;0.101;-0.013;0.194;-0.012;-0.014
1802;0.103;0.015;0.198;-0.012;-0.015
1803;0.105;0.033;0.199;-0.012;-0.01
1804;0.107;0.035;0.2;-0.012;-0.006
1805;0.109;0.026;0.2;-0.013;-0.016
1806;0.111;0.012;0.2;-0.013;-0.012
1807;0.113;-0.008;0.2;-0.013;-0.016
1808;0.115;-0.03;0.2;-0.013;-0.028
1809;0.117;-0.049;-3.746;-0.014;-0.023
1810;0.119;-0.063;-2.577;-0.014;-0.024
1811;0.121;-0.067;-0.798;-0.014;-0.018
1812;0.123;-0.062;-0.138;-0.014;-0.012
1813;0.125;-0.047;0.086;-0.015;-0.016
1814;0.127;-0.026;0.162;-0.015;-0.029
1815;0.129;-0.007;-3.72;-0.015;-0.024
1816;0.131;0.005;-4.816;-0.015;-0.023
1817;0.132;0.007;-1.695;-0.016;-0.025
1818;0.134;-0.001;-0.446;-0.016;-0.032
1819;0.136;-0.014;-0.017;-0.016;-0.028
1820;0.138;-0.031;0.127;-0.017;-0.035
1821;0.14;-0.048;0.061;-0.017;-0.032
1822;0.142;-0.059;0.066;-0.018;-0.032
1823;0.144;-0.062;-0.306;-0.018;-0.027
1824;0.146;-0.05;-0.039;-0.018;-0.025
1825;0.148;-0.02;0.116;-0.019;-0.033
1826;0.15;0.013;0.172;-0.019;-0.029
1827;0.152;0.038;0.191;-0.02;-0.033
1828;0.154;0.045;0.197;-0.02;-0.046
1829;0.156;0.036;0.199;-0.02;-0.041
1830;0.158;0.016;0.2;-0.021;-0.046
1831;0.16;-0.01;-2.501;-0.021;-0.036
1832;0.162;-0.035;-1.672;-0.022;-0.034
1833;0.164;-0.051;-0.472;-0.022;-0.037
1834;0.166;-0.049;-0.028;-0.023;-0.049
1835;0.168;-0.015;-1.855;-0.023;-0.043
1836;0.17;0.044;-1.193;-0.024;-0.047
1837;0.171;0.088;-0.3;-0.024;-0.048
1838;0.173;0.1;0.031;-0.025;-0.054
1839;0.175;0.086;0.143;-0.025;-0.052
1840;0.177;0.064;0.181;-0.026;-0.055
1841;0.179;0.031;0.194;-0.026;-0.058
1842;0.181;-0.004;0.198;-0.027;-0.057
1843;0.183;-0.034;0.199;-0.027;-0.05
1844;0.185;-0.053;0.2;-0.028;-0.05
1845;0.187;-0.054;0.2;-0.028;-0.061
1846;0.189;-0.042;-0.002;-0.029;-0.056
1847;0.191;-0.03;0.06;-0.029;-0.065
1848;0.193;-0.017;0.15;-0.03;-0.077
1849;0.195;-0.005;0.183;-0.031;-0.074
1850;0.197;0.008;0.194;-0.031;-0.078
1851;0.199;0.002;0.198;-0.032;-0.068
1852;0.203;0.001;0.192;-0.033;-0.064
1853;0.206;-0.009;0.011;-0.033;-0.069
1854;0.21;-0.023;-0.023;-0.034;-0.086
1855;0.213;-0.031;0.118;-0.035;-0.079
1856;0.216;-0.034;0.128;-0.035;-0.081
1857;0.22;-0.028;-0.058;-0.036;-0.087
1858;0.225;-0.011;0.088;-0.037;-0.092
1859;0.229;0.003;0.162;-0.038;-0.094
1860;0.235;0.014;0.188;-0.038;-0.099
1861;0.24;0.012;0.108;-0.039;-0.098
1862;0.246;0;-0.701;-0.04;-0.099
1863;0.251;-0.008;-0.296;-0.04;-0.095
1864;0.257;-0.015;0.034;-0.041;-0.097
1865;0.263;-0.02;0.15;-0.042;-0.111
1866;0.268;-0.023;0.184;-0.042;-0.108
1867;0.274;-0.028;0.195;-0.043;-0.12
1868;0.28;-0.018;0.199;-0.044;-0.132
1869;0.284;0;0.2;-0.045;-0.128
1870;0.288;0.001;0.201;-0.046;-0.137
1871;0.292;0.012;0.201;-0.047;-0.132
1872;0.297;0.007;0.195;-0.049;-0.132
1873;0.302;-0.003;-0.044;-0.05;-0.149
1874;0.307;-0.011;0.106;-0.051;-0.155
1875;0.313;-0.027;0.121;-0.052;-0.149
1876;0.318;-0.034;0.133;-0.054;-0.157
1877;0.324;-0.039;0.177;-0.055;-0.161
